Marks,WinRate,MVP,Played,URL
1,81.82%,8,22,https://sea.wildstats.gg/en/profile/J9b5FYRbpbB27trlQ0y8
1,94.12%,0,17,https://sea.wildstats.gg/en/profile/ieTFSECMjKR475sbJI8f
6,88.89%,9,27,https://sea.wildstats.gg/en/profile/D7Bg0sbnIiYrg5cmGMGg
5,88.24%,2,17,https://sea.wildstats.gg/en/profile/BE6p43HIWJIDTWMwH87v
4,78.95%,2,19,https://sea.wildstats.gg/en/profile/7q6prsD5AgfyXxj8fWYW
4,76.19%,0,21,https://sea.wildstats.gg/en/profile/GByd0wpQrWyEik6Bz8nu
3,75%,3,20,https://sea.wildstats.gg/en/profile/pOZNytaiL4yM0eZFLZ9T
3,94.12%,11,17,https://sea.wildstats.gg/en/profile/MIPSOY77PWMSbglgrKyZ
2,75%,4,24,https://sea.wildstats.gg/en/profile/iaa80g7VaZMnDiThxB75
3,71.43%,9,21,https://sea.wildstats.gg/en/profile/OWHw62EQwNiToRqdkqFg
2,65.22%,6,23,https://sea.wildstats.gg/en/profile/ksCMz7OqCWw1xZ52RZs8
2,78.26%,7,23,https://sea.wildstats.gg/en/profile/LcMa2EDk5PBdqwTzxxw9
2,80.95%,1,21,https://sea.wildstats.gg/en/profile/NkdY1l8wXXa3dqOxJ4dM
2,85%,6,20,https://sea.wildstats.gg/en/profile/XSCYJtg1uvqSFt0nVFK6
1,76.47%,5,17,https://sea.wildstats.gg/en/profile/LDn3Fwo1sndeVISEeYqz
0,70.83%,3,24,https://sea.wildstats.gg/en/profile/MNdudlJRTa48bVjiup49
1,76.47%,5,17,https://sea.wildstats.gg/en/profile/B8uiBHemjbHNrscCSuST
1,89.47%,4,19,https://sea.wildstats.gg/en/profile/kn0LrFR0lKZ6lkWC85U1
1,91.67%,1,12,https://sea.wildstats.gg/en/profile/kYhGKSzB5fMXZ6OAD9Gc
1,75%,6,24,https://sea.wildstats.gg/en/profile/vLXgNJD5MXkehtT90O7Y
1,85%,3,20,https://sea.wildstats.gg/en/profile/83xDar4cHWG5F1y3L6CJ
0,64%,1,25,https://sea.wildstats.gg/en/profile/w9u6YXnogxRGx8VO0cMr
1,76.19%,11,21,https://sea.wildstats.gg/en/profile/qDkzK3Mec92VyUjXpLS4
6,84.62%,7,13,https://sea.wildstats.gg/en/profile/f03WXGaWzFcGRSeUdiud
1,66.67%,7,21,https://sea.wildstats.gg/en/profile/WOpiPPTYlPIyxImX1fzP
6,66.67%,9,18,https://sea.wildstats.gg/en/profile/VvmLE0XJv5KikXWoqvrm
2,85%,9,20,https://sea.wildstats.gg/en/profile/syhyO9sMOmepuZ2vvliM
6,73.33%,3,15,https://sea.wildstats.gg/en/profile/i24jd5OVtqLblNe2xyN2
1,77.27%,5,22,https://sea.wildstats.gg/en/profile/Lj8U1tjQlZnyay8s1OsZ
6,88.89%,1,18,https://sea.wildstats.gg/en/profile/jjsTCkdLOkpYllyR1aA0
6,73.33%,4,15,https://sea.wildstats.gg/en/profile/dmJ9ZnXmlKGNJag2Tm5n
6,77.78%,10,18,https://sea.wildstats.gg/en/profile/BJYRgjnihv9VMzb0uy2f
2,88.89%,9,18,https://sea.wildstats.gg/en/profile/TGfU0AYo0X0X8xf6pYev
6,80.95%,0,21,https://sea.wildstats.gg/en/profile/v2O0pfOxIsgR4OAl08tL
5,88.24%,11,17,https://sea.wildstats.gg/en/profile/zRiCbtmbzeZfitKmCQHv
5,72.73%,1,22,https://sea.wildstats.gg/en/profile/ZUox6edEVBI9HFDWfSWG
5,91.67%,4,12,https://sea.wildstats.gg/en/profile/cP6mN15jmoVqYFe9Ig8E
5,66.67%,0,24,https://sea.wildstats.gg/en/profile/C7Wv1FtX0rJ2hh5h8ax2
6,65%,0,20,https://sea.wildstats.gg/en/profile/QwAcRlaA5p91TdYkYqty
6,78.57%,0,14,https://sea.wildstats.gg/en/profile/w6zm29tQYD0fe1A8jTgT
6,77.27%,4,22,https://sea.wildstats.gg/en/profile/IQ5EynTvicpM5cP07ErS
5,88.24%,0,17,https://sea.wildstats.gg/en/profile/ZRYOdtO9lmO5M5Gy49pv
5,78.95%,9,19,https://sea.wildstats.gg/en/profile/UgJkZ4XWnStmbBxfcvBy
5,68.75%,4,16,https://sea.wildstats.gg/en/profile/quMTeQWNiw2Wki37JtlG
4,66.67%,6,27,https://sea.wildstats.gg/en/profile/K0uxaBelRa3YnTkUTOt7
5,66.67%,8,21,https://sea.wildstats.gg/en/profile/KUQ99bbsokEzryrl0Mnc
5,92.86%,2,14,https://sea.wildstats.gg/en/profile/ggwcHKULrG1xe8jEwmZW
5,76.92%,3,13,https://sea.wildstats.gg/en/profile/EFxwBVM8wj8eRVZlWtNh
6,76%,3,25,https://sea.wildstats.gg/en/profile/7Zk6RqzCJ5PLAhzvBcsX
6,80.95%,4,21,https://sea.wildstats.gg/en/profile/g9w9VZxqY9CxHANZfcDD
5,70.83%,7,24,https://sea.wildstats.gg/en/profile/GLcGu4ha42Uj2jMiKN6K
3,66.67%,7,15,https://sea.wildstats.gg/en/profile/xYB0mh0us5BG5EQREyEO
5,87.5%,2,16,https://sea.wildstats.gg/en/profile/d4w1IR7xScdXzBAeqZZU
4,66.67%,3,18,https://sea.wildstats.gg/en/profile/8XcpcejvhcDAShuilJqd
5,83.33%,4,12,https://sea.wildstats.gg/en/profile/Dpzt19YiVQIlwu0lyRFk
5,88.24%,5,17,https://sea.wildstats.gg/en/profile/O4xUrW6vyFwXWHPPTTv6
4,78.57%,0,14,https://sea.wildstats.gg/en/profile/yR6QNxX5y3D9wIiXLrWZ
4,73.33%,10,15,https://sea.wildstats.gg/en/profile/sZ8jp0UZBh6wM6DcDQ7c
4,78.95%,2,19,https://sea.wildstats.gg/en/profile/D7NWDR57sEJBrsKNXe0m
4,92.31%,8,13,https://sea.wildstats.gg/en/profile/NZyI8bGYEYVvtN979zED
4,64%,4,25,https://sea.wildstats.gg/en/profile/iXSkkskv0ldBVa9hj2r5
5,72.73%,5,22,https://sea.wildstats.gg/en/profile/12fy8uKkN6jQmurJA47U
4,59.09%,1,22,https://sea.wildstats.gg/en/profile/pazgFVS9OPeIaPduuc5h
4,92.86%,8,14,https://sea.wildstats.gg/en/profile/QlipR0UOkdSFxsqwo7yU
4,63.16%,9,19,https://sea.wildstats.gg/en/profile/vhfNg4P3chOr0rkCyZIQ
4,77.78%,9,18,https://sea.wildstats.gg/en/profile/zsX315I9HDmAi3dR228I
5,90.91%,1,11,https://sea.wildstats.gg/en/profile/G09TIGT8LkcPc8zJg9sA
5,88.24%,7,17,https://sea.wildstats.gg/en/profile/LE6SSuKwburcde2MfKZy
4,76.92%,4,13,https://sea.wildstats.gg/en/profile/9RRH2l2hE9DlwbmeNDFp
5,100%,5,14,https://sea.wildstats.gg/en/profile/zgnBThlQACYnaqqBjkSO
4,81.25%,7,16,https://sea.wildstats.gg/en/profile/sV8ucvwrQZoPIcaZ1SXI
5,83.33%,3,18,https://sea.wildstats.gg/en/profile/0xaNwhUVmGU6zXUEc3gl
4,69.57%,7,23,https://sea.wildstats.gg/en/profile/3UVpkyD6nqWjhj94ElgD
5,88.24%,4,17,https://sea.wildstats.gg/en/profile/ZaXuyW8qBwMiEizJacf4
4,71.43%,1,21,https://sea.wildstats.gg/en/profile/fYORvYi393HEvTJ3jy6x
4,63.16%,3,19,https://sea.wildstats.gg/en/profile/tVSlZmNEnU7bonRBkL7s
4,72.73%,0,22,https://sea.wildstats.gg/en/profile/wgMiVVSu2pFBzbmLZqEg
4,73.68%,1,19,https://sea.wildstats.gg/en/profile/W66wH2X9DAlTiL4182Yl
5,83.33%,4,18,https://sea.wildstats.gg/en/profile/vXZBlQFXmxEzcVP1MsPY
5,77.78%,4,18,https://sea.wildstats.gg/en/profile/RY8wJsD1NpXMHGqUJCyG
5,81.25%,5,16,https://sea.wildstats.gg/en/profile/8bnIrlUXgUQTl5xiIacT
3,76.92%,0,13,https://sea.wildstats.gg/en/profile/Dh16AxSTc4iPV1AzJVHy
4,82.61%,11,23,https://sea.wildstats.gg/en/profile/Gd7D5W5BCQ9jUwpHLzrp
3,71.43%,5,21,https://sea.wildstats.gg/en/profile/U64171vGIYauRTBsFMyg
3,72.73%,2,11,https://sea.wildstats.gg/en/profile/IX7OPNDKxWZRgVsxgQAy
4,70%,14,20,https://sea.wildstats.gg/en/profile/Od24JxLNfGhDewz8E9uW
3,66.67%,3,15,https://sea.wildstats.gg/en/profile/zG2LWsSXRZ6wq7nchf0j
3,75%,2,16,https://sea.wildstats.gg/en/profile/vlVNjE2gmhSSCBmGAZ6r
4,71.43%,7,21,https://sea.wildstats.gg/en/profile/mzlpPWcFLS9V6KvLVSGa
3,88.89%,1,9,https://sea.wildstats.gg/en/profile/C0UH3eBaSXP4gg8PzALc
