,Marks,WinRate,MVP,Played,URL
0,244,58.53%,341,"1,102",https://sea.wildstats.gg/en/profile/D1pWIYi6Y5O5wfvRYG7T
1,234,62.05%,330,751,https://sea.wildstats.gg/en/profile/S4oFFBRE88hAEhs41Ike
2,221,64.34%,265,603,https://sea.wildstats.gg/en/profile/6LYjywZ3n8oYUe1wPwto
3,214,61.81%,234,741,https://sea.wildstats.gg/en/profile/EROGPRmlwyIuf24AnFNY
4,200,59.08%,307,782,https://sea.wildstats.gg/en/profile/YwMfAm4canvu06JXp7WW
5,189,58.36%,330,927,https://sea.wildstats.gg/en/profile/CNpoy3OQxo2Eej7wbM9U
6,174,57.49%,158,854,https://sea.wildstats.gg/en/profile/Dh16AxSTc4iPV1AzJVHy
7,169,58.21%,299,737,https://sea.wildstats.gg/en/profile/sZ8jp0UZBh6wM6DcDQ7c
8,166,57.13%,132,884,https://sea.wildstats.gg/en/profile/cQjAM5XXn8oVAOBwPAYz
9,163,56.19%,135,913,https://sea.wildstats.gg/en/profile/7q6prsD5AgfyXxj8fWYW
10,155,58.57%,189,671,https://sea.wildstats.gg/en/profile/f03WXGaWzFcGRSeUdiud
11,155,59.04%,174,647,https://sea.wildstats.gg/en/profile/WOpiPPTYlPIyxImX1fzP
12,153,60.55%,216,578,https://sea.wildstats.gg/en/profile/YmOz6GtbG32mEOXDvVtk
13,144,57.7%,150,740,https://sea.wildstats.gg/en/profile/7JW8WvEJrxVgNkcR8Qkg
14,144,55.86%,155,981,https://sea.wildstats.gg/en/profile/H8v2iUP9ReUa8Ce3bjU0
15,140,62.97%,220,505,https://sea.wildstats.gg/en/profile/TOcSWjGEEZNUZLG8lTwS
16,140,53.87%,174,"1,164",https://sea.wildstats.gg/en/profile/C0UH3eBaSXP4gg8PzALc
17,138,61.52%,71,473,https://sea.wildstats.gg/en/profile/OT7gPiJh3yNJgCT5ULKt
18,138,56.25%,177,768,https://sea.wildstats.gg/en/profile/CXYXJhQCOJFEywhJhz0N
19,136,57.89%,154,634,https://sea.wildstats.gg/en/profile/x2Z8weAY8gSgfJNKiVAr
20,135,55.09%,179,844,https://sea.wildstats.gg/en/profile/ofpdb5w0hoPjsXm7oL8w
21,135,56.07%,163,849,https://sea.wildstats.gg/en/profile/XBaJ7UBSOqON7PcUKwDy
22,134,65.04%,158,369,https://sea.wildstats.gg/en/profile/8Y9kJsjT90KyX94RUsMI
23,134,60.85%,120,493,https://sea.wildstats.gg/en/profile/aoI2b8CvlZDjQBtEnuQm
24,134,55.16%,143,843,https://sea.wildstats.gg/en/profile/sVzSJIAgrJW4IuSi3yV8
25,134,54.86%,306,864,https://sea.wildstats.gg/en/profile/LKWMrelDrLIueh5SxhlN
26,133,58.14%,65,602,https://sea.wildstats.gg/en/profile/FchPhG3DVbdrzVIpkAIW
27,132,64.94%,84,385,https://sea.wildstats.gg/en/profile/X72grmmuOfSXuK2WrZK8
